d,n,p,g,n7,n7g,n7g6
2020-11-05,6954,8932664,80307,5799.14285714286,1.04969272771871,1.04663082009582
2020-11-06,8091,8932664,84327,6138.42857142857,1.03612547371647,1.04120333130652
2020-11-07,5322,8932664,87931,6214.85714285714,1.02727104218342,1.03528593246745
2020-11-08,5741,8932664,91335,6395.14285714286,1.02350108046219,1.02987066133234
2020-11-09,6248,8932664,95566,6546,1.02787927853133,1.02439882255027
2020-11-10,7429,8932664,99988,6698.85714285714,1.03090518146076,1.01911726731679
2020-11-11,9174,8932664,104797,6994.14285714286,1.02341768795539,1.01389900593143
2020-11-12,8253,8932664,110118,7179.71428571429,1.00774162877093,1.00682266772168
2020-11-13,7002,8932664,116525,7024.14285714286,0.991761108382815,1.00018258860293
2020-11-14,5106,8932664,122666,6993.28571428572,0.986633952456351,0.994226673594403
2020-11-15,4617,8932664,128054,6832.71428571429,0.990658729342149,0.989582951529134
2020-11-16,6077,8932664,134286,6808.28571428572,0.985978969264368,0.984948535001577
2020-11-17,7521,8932664,140737,6821.42857142857,0.974847208691444,0.980020758377918
2020-11-18,6434,8932664,146783,6430,0.966608390624569,0.976257128970873
2020-11-19,6605,8932664,152969,6194.57142857143,0.97371080019212,0.974747735443636
2020-11-20,6465,8932664,160614,6117.85714285714,0.981509267757085,0.972919737144895
2020-11-21,5153,8932664,167078,6124.57142857143,0.975402388921998,0.969833547258862
2020-11-22,2438,8932664,172892,5813.28571428572,0.96361941982545,0.966190917226711
2020-11-23,4607,8932664,179250,5603.28571428572,0.95961213945432,0.964407018247936
2020-11-24,5743,8932664,185911,5349.28571428572,0.962221259535833,0.963691435162429
2020-11-25,5391,8932664,191865,5200.28571428572,0.95814042647988,0.96193215295326
2020-11-26,5017,8932664,197668,4973.42857142857,0.952445063995849,0.959429692864927
2020-11-27,4237,8932664,204395,4655.14285714286,0.956068599178903,0.957926117084823
2020-11-28,3739,8932664,209822,4453.14285714286,0.967065079671272,0.958504342067443
2020-11-29,2390,8932664,214999,4446.28571428571,0.969019046870311,0.958188806164499
2020-11-30,3373,8932664,220783,4270,0.955874585316398,0.957439666091478
2020-12-01,3933,8932664,226622,4011.42857142857,0.943072897857198,0.956993534819101
2020-12-02,3571,8932664,232544,3751.42857142857,0.946208465115511,0.957578610883218
2020-12-03,3656,8932664,237868,3557,0.956743088119808,0.958779580486054
2020-12-04,3591,8932664,243620,3464.71428571429,0.968172221117063,0.959625166895369
2020-12-05,2866,8932664,248322,3340,0.972722605980285,0.959962756701884
